"1","(299, 1999, 3)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S30, S31, S32, S33, S34, S35, S36]","[S1, S13, S25]","[S19, S20, S21, S31, S32, S33]"
"","(1001, 2999, 6)","","",""
"","(2150, 1111, 9)","","",""
"2","(296, 1997, 1)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S30, S31, S32, S33, S34, S35, S36]","[S1, S13, S25]","[S19, S20, S21, S31, S32, S33]"
"","(296, 1997, 8)","","",""
"","(2593, 2297, 3)","","",""
"3","(793, 1993, 7)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S30, S31, S32, S33, S34, S35, S36]","[S1, S13, S25]","[S19, S20, S21, S31, S32, S33]"
"","(1998, 2998, 19)","","",""
"4","(1877, 2855, 5)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S25, S26, S27, S28, S29, S30, S31, S32, S33, S34, S35, S36]","[S1, S13, S25]","[S31, S32, S33]"
"","(1333, 2333, 3)","","",""
"","(5, 98, 2)","","",""
"5","(45, 1355, 5)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S25, S26, S27, S28, S29, S30, S31, S32, S33, S34, S35, S36]","[S1, S13, S25]","[S31, S32, S33]"
"","(5, 98, 2)","","",""
"6","(298, 1789, 3)","[S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S30, S31, S32, S33, S34, S35, S36]","[S1, S13, S25]","[S19, S20, S21, S31, S32, S33]"
"","(1061, 2476, 6)","","",""
"","(2850, 1234, 9)","","",""
